size,Triton,Torch
4096.000000,5.036066,5.036066
8192.000000,9.909677,9.909677
16384.000000,19.504761,19.819355
32768.000000,37.809231,38.400001
65536.000000,70.217145,72.282353
131072.000000,122.880003,134.663008
262144.000000,187.245721,236.877115
524288.000000,253.687735,364.088903
1048576.000000,314.572807,476.625457
2097152.000000,361.577926,542.366903
4194304.000000,390.773650,585.796658
8388608.000000,406.950572,609.047050
16777216.000000,415.689185,618.628928
33554432.000000,420.200336,624.462127
67108864.000000,422.457781,627.732700
134217728.000000,423.631179,628.771891
