M,N,K,cuBLAS,Triton
256.000000,256.000000,256.000000,1.941807,1.677722
384.000000,384.000000,384.000000,5.529600,4.508209
512.000000,512.000000,512.000000,10.824010,7.731436
640.000000,640.000000,640.000000,16.141871,13.884746
768.000000,768.000000,768.000000,23.495064,16.131939
896.000000,896.000000,896.000000,32.343666,22.821164
1024.000000,1024.000000,1024.000000,31.805149,18.538360
1152.000000,1152.000000,1152.000000,42.561908,25.548526
1280.000000,1280.000000,1280.000000,32.244035,32.809012
1408.000000,1408.000000,1408.000000,55.120644,23.168238
1536.000000,1536.000000,1536.000000,64.435965,25.151851
1664.000000,1664.000000,1664.000000,74.602378,31.368756
1792.000000,1792.000000,1792.000000,83.158742,33.707739
1920.000000,1920.000000,1920.000000,98.742855,38.012289
2048.000000,2048.000000,2048.000000,61.815878,25.365977
2176.000000,2176.000000,2176.000000,87.138937,33.469686
2304.000000,2304.000000,2304.000000,93.448889,38.490027
2432.000000,2432.000000,2432.000000,104.537537,32.467419
2560.000000,2560.000000,2560.000000,103.307976,35.876330
2688.000000,2688.000000,2688.000000,120.841986,38.843449
2816.000000,2816.000000,2816.000000,94.332861,35.488010
2944.000000,2944.000000,2944.000000,55.181767,38.079107
3072.000000,3072.000000,3072.000000,70.094365,36.967037
3200.000000,3200.000000,3200.000000,101.310912,37.461131
3328.000000,3328.000000,3328.000000,90.280058,41.090189
3456.000000,3456.000000,3456.000000,106.431112,36.004330
3584.000000,3584.000000,3584.000000,105.385681,40.334933
3712.000000,3712.000000,3712.000000,117.085066,36.121073
3840.000000,3840.000000,3840.000000,104.486093,41.002704
3968.000000,3968.000000,3968.000000,95.781348,38.235164
4096.000000,4096.000000,4096.000000,88.346543,31.787495
