N,Triton,Torch (native),Torch (jit)
256.000000,167.504149,226.964513,91.658745
384.000000,231.644182,300.164894,104.439840
512.000000,258.588415,353.055889,121.503591
640.000000,325.240699,384.375379,133.610605
768.000000,364.510774,378.092307,145.635552
896.000000,408.687733,408.687733,144.091717
1024.000000,288.070329,384.798528,110.144540
1152.000000,329.510613,105.845488,155.216839
1280.000000,444.688723,109.545894,158.490929
1408.000000,419.125567,124.965723,155.827293
1536.000000,389.805183,126.436016,154.051323
1664.000000,396.725506,141.054296,157.991278
1792.000000,416.573914,137.505279,161.603528
1920.000000,401.240812,151.120678,159.390357
2048.000000,427.771977,154.828498,87.554622
2176.000000,368.606111,163.299483,155.765060
2304.000000,432.501569,166.734335,158.501411
2432.000000,400.059108,176.496671,149.774051
2560.000000,453.929007,177.905484,150.096773
2688.000000,391.259714,185.854968,149.207862
2816.000000,448.283578,183.434113,152.369036
2944.000000,381.843685,197.390935,138.700330
3072.000000,462.267164,187.692612,128.031096
3200.000000,397.790604,203.212414,141.150121
3328.000000,450.627705,203.030807,151.125145
3456.000000,382.381832,214.904746,141.501154
3584.000000,438.472644,212.017111,145.361564
3712.000000,372.838447,222.155940,139.387163
3840.000000,440.578141,222.155936,150.398164
3968.000000,397.382108,233.117154,141.922025
4096.000000,444.076634,223.220020,97.011772
4224.000000,389.761294,236.585598,139.101836
4352.000000,492.425168,236.322107,148.548270
4480.000000,385.992415,242.854409,133.707891
4608.000000,469.278172,242.538772,143.356760
4736.000000,384.283989,251.212845,129.376022
4864.000000,472.107688,249.036806,146.148362
4992.000000,394.429149,256.423577,129.757784
5120.000000,477.276283,252.000946,131.121167
5248.000000,404.817497,257.836063,128.195321
5376.000000,471.723785,261.241707,143.229393
5504.000000,390.311356,267.240198,128.458024
5632.000000,474.664039,265.523006,142.118479
5760.000000,388.937680,272.687929,126.939421
5888.000000,467.388511,268.745797,143.743285
6016.000000,375.690431,275.139967,132.924460
6144.000000,454.419260,272.534373,103.896557
6272.000000,395.171312,283.429786,125.894818
6400.000000,487.982119,281.572513,143.107230
6528.000000,394.958472,287.450958,123.111934
6656.000000,487.709215,286.435959,139.881863
6784.000000,391.369574,290.904815,119.330284
6912.000000,479.856811,288.657765,141.035931
7040.000000,385.712159,295.995074,121.772912
7168.000000,470.514885,294.898835,130.050101
7296.000000,378.955314,300.164885,122.246589
7424.000000,483.906813,304.574358,140.833158
7552.000000,376.772148,302.286644,118.191112
7680.000000,490.599197,302.009207,139.253078
7808.000000,384.485706,303.776107,119.745271
7936.000000,476.624572,305.649613,140.189934
8064.000000,387.586790,305.608291,120.345870
8192.000000,457.268652,366.154378,204.151906
8320.000000,392.340504,344.194708,203.091306
8448.000000,496.741426,367.686846,207.030074
8576.000000,403.112743,345.877286,202.532691
8704.000000,516.688688,374.885214,206.771589
8832.000000,408.673984,347.444022,202.529648
8960.000000,495.277998,378.508248,206.586879
9088.000000,388.320467,353.541892,202.273742
9216.000000,488.088134,384.720112,204.135433
9344.000000,389.825072,356.824353,199.027556
9472.000000,499.064994,388.439006,204.196382
9600.000000,388.937207,362.144039,199.177267
9728.000000,499.822947,392.492490,204.222692
9856.000000,390.653919,363.629764,199.496755
9984.000000,486.259585,396.956562,202.527928
10112.000000,388.689492,369.282748,197.476523
10240.000000,467.071714,400.908422,200.052535
10368.000000,386.382762,369.216903,195.027848
10496.000000,458.039802,403.676921,201.772145
10624.000000,384.823640,372.058014,196.300541
10752.000000,469.111558,407.553128,200.146185
10880.000000,389.754067,375.279836,195.724301
11008.000000,472.133697,410.943459,201.775455
11136.000000,383.496341,376.438342,194.960914
11264.000000,464.531658,414.605639,197.488742
11392.000000,384.045952,381.721281,191.345980
11520.000000,473.659107,417.242193,196.199152
11648.000000,382.538346,383.091437,190.110722
11776.000000,485.940619,421.114409,195.281365
11904.000000,387.650956,387.805096,191.488720
12032.000000,463.621966,424.488137,195.459053
12160.000000,385.983516,391.044490,190.162402
12288.000000,450.758072,428.281318,192.738077
12416.000000,381.801137,393.256374,189.527492
12544.000000,463.302291,428.954963,194.180734
12672.000000,379.613027,394.291334,189.252850
